id,Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP
car486,Toyota,4Runner,2014,regular unleaded,270.0,6.0,AUTOMATIC,four wheel drive,4.0,,Midsize,4dr SUV,22,17,2031,38645
car495,Toyota,4Runner,2015,regular unleaded,270.0,6.0,AUTOMATIC,four wheel drive,4.0,,Midsize,4dr SUV,21,17,2031,41310
car504,Toyota,4Runner,2016,regular unleaded,270.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Midsize,4dr SUV,22,17,2031,34010
car799,Toyota,86,2017,premium unleaded (recommended),200.0,4.0,AUTOMATIC,rear wheel drive,2.0,Performance,Compact,Coupe,32,24,2031,26975
car1028,Audi,A3,2015,premium unleaded (recommended),170.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Luxury,Compact,Sedan,33,23,3105,32450
car1048,Audi,A3,2016,diesel,150.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,"Diesel,Luxury",Compact,Sedan,43,31,3105,42050
car1060,Audi,A3,2017,premium unleaded (recommended),220.0,4.0,AUTOMATED_MANUAL,all wheel drive,4.0,Luxury,Compact,Sedan,35,26,3105,34200
car1072,Audi,A4,2015,premium unleaded (required),220.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Sedan,31,22,3105,37600
car1078,Audi,A4,2016,premium unleaded (required),220.0,4.0,MANUAL,all wheel drive,4.0,Luxury,Midsize,Sedan,32,22,3105,39100
car1088,Audi,A4,2017,premium unleaded (recommended),252.0,4.0,AUTOMATED_MANUAL,all wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,31,24,3105,42350
car1094,Audi,A5,2016,premium unleaded (required),220.0,4.0,MANUAL,all wheel drive,2.0,Luxury,Midsize,Coupe,32,22,3105,42800
car1097,Audi,A5,2017,flex-fuel (premium unleaded recommended/E85),220.0,4.0,AUTOMATIC,all wheel drive,2.0,"Flex Fuel,Luxury",Midsize,Coupe,22,15,3105,42200
car1105,Audi,A6,2015,diesel,240.0,6.0,AUTOMATIC,all wheel drive,4.0,"Diesel,Luxury",Midsize,Sedan,38,24,3105,62500
car1113,Audi,A6,2016,premium unleaded (recommended),252.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Sedan,32,22,3105,48400
car1120,Audi,A6,2017,premium unleaded (recommended),252.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Luxury,Midsize,Sedan,34,24,3105,47600
car1124,Audi,A7,2015,diesel,240.0,6.0,AUTOMATIC,all wheel drive,4.0,"Diesel,Luxury",Large,Sedan,38,24,3105,72150
car1128,Audi,A7,2016,premium unleaded (required),333.0,6.0,AUTOMATIC,all wheel drive,4.0,"Luxury,Performance",Large,Sedan,30,20,3105,70950
car1134,Audi,A8,2016,premium unleaded (required),333.0,6.0,AUTOMATIC,all wheel drive,4.0,"Luxury,Performance",Large,Sedan,28,18,3105,81500
car1136,Audi,A8,2017,premium unleaded (required),333.0,6.0,AUTOMATIC,all wheel drive,4.0,"Luxury,Performance",Large,Sedan,29,19,3105,82500
car1148,GMC,Acadia,2015,regular unleaded,281.0,6.0,AUTOMATIC,front wheel drive,4.0,Crossover,Midsize,4dr SUV,24,17,549,36555
car1159,GMC,Acadia,2016,regular unleaded,281.0,6.0,AUTOMATIC,all wheel drive,4.0,Crossover,Midsize,4dr SUV,22,15,549,43020
car1170,GMC,Acadia,2017,regular unleaded,310.0,6.0,AUTOMATIC,front wheel drive,4.0,Crossover,Midsize,4dr SUV,25,18,549,41750
car1232,Honda,Accord,2015,regular unleaded,185.0,4.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Sedan,36,27,2202,22905
car1258,Honda,Accord,2016,regular unleaded,185.0,4.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Sedan,37,27,2202,30670
car1286,Honda,Accord,2017,regular unleaded,185.0,4.0,AUTOMATIC,front wheel drive,2.0,,Midsize,Coupe,34,26,2202,24875
car1380,Audi,allroad,2014,premium unleaded (recommended),220.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Wagon,27,20,3105,49200
car1398,BMW,Alpina,2003,premium unleaded (required),375.0,8.0,AUTOMATIC,rear wheel drive,2.0,"Exotic,Factory Tuner,Luxury,High-Performance",Compact,Convertible,19,13,3916,136900
car1599,Toyota,Avalon,2015,regular unleaded,268.0,6.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Sedan,31,21,2031,34140
car1604,Toyota,Avalon,2016,regular unleaded,268.0,6.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Sedan,31,21,2031,34400
car1609,Toyota,Avalon,2017,regular unleaded,268.0,6.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Sedan,30,21,2031,35000
car1929,Volkswagen,Beetle,2015,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,2.0,Hatchback,Compact,2dr Hatchback,33,25,873,26985
car1948,Volkswagen,Beetle,2016,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,2.0,Hatchback,Compact,2dr Hatchback,31,24,873,23995
car1955,Volkswagen,Beetle,2017,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,2.0,Hatchback,Compact,2dr Hatchback,33,24,873,22450
car2120,Audi,Cabriolet,1997,regular unleaded,172.0,6.0,AUTOMATIC,front wheel drive,2.0,Luxury,Compact,Convertible,22,17,3105,2837
car2121,Audi,Cabriolet,1998,regular unleaded,172.0,6.0,AUTOMATIC,front wheel drive,2.0,Luxury,Compact,Convertible,22,17,3105,3137
car2129,Volkswagen,Cabrio,2000,regular unleaded,115.0,4.0,MANUAL,front wheel drive,2.0,,Compact,Convertible,28,21,873,2568
car2135,Volkswagen,Cabrio,2001,regular unleaded,115.0,4.0,MANUAL,front wheel drive,2.0,,Compact,Convertible,28,21,873,20600
car2141,Volkswagen,Cabrio,2002,regular unleaded,115.0,4.0,AUTOMATIC,front wheel drive,2.0,,Compact,Convertible,27,20,873,20475
car2249,Toyota,Camry,2015,regular unleaded,178.0,4.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Sedan,35,25,2031,23840
car2256,Toyota,Camry,2016,regular unleaded,268.0,6.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Sedan,31,21,2031,31370
car2262,Toyota,Camry,2017,regular unleaded,178.0,4.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Sedan,33,24,2031,26310
car2276,GMC,Canyon,2012,regular unleaded,242.0,5.0,AUTOMATIC,rear wheel drive,4.0,,Compact,Crew Cab Pickup,23,17,549,26470
car2293,GMC,Canyon,2015,regular unleaded,305.0,6.0,AUTOMATIC,four wheel drive,4.0,,Compact,Crew Cab Pickup,24,17,549,34010
car2310,GMC,Canyon,2016,regular unleaded,200.0,4.0,AUTOMATIC,rear wheel drive,4.0,,Compact,Extended Cab Pickup,27,20,549,27305
car2403,Volkswagen,CC,2015,premium unleaded (recommended),200.0,4.0,MANUAL,front wheel drive,4.0,Performance,Midsize,Sedan,32,21,873,34275
car2418,Volkswagen,CC,2016,premium unleaded (recommended),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Performance,Midsize,Sedan,31,22,873,35755
car2424,Volkswagen,CC,2017,premium unleaded (recommended),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Performance,Midsize,Sedan,31,22,873,34475
car2430,Toyota,Celica,2003,regular unleaded,140.0,4.0,MANUAL,front wheel drive,2.0,Hatchback,Compact,2dr Hatchback,30,23,2031,17340
car2438,Toyota,Celica,2004,premium unleaded (required),180.0,4.0,MANUAL,front wheel drive,2.0,"Hatchback,Performance",Compact,2dr Hatchback,30,21,2031,24110
car2442,Toyota,Celica,2005,regular unleaded,140.0,4.0,AUTOMATIC,front wheel drive,2.0,Hatchback,Compact,2dr Hatchback,33,25,2031,18470
car2568,Honda,Civic,2015,regular unleaded,143.0,4.0,AUTOMATIC,front wheel drive,2.0,,Compact,Coupe,39,30,2202,19090
car2585,Honda,Civic,2016,regular unleaded,158.0,4.0,AUTOMATIC,front wheel drive,2.0,,Compact,Coupe,41,30,2202,19850
car2610,Honda,Civic,2017,regular unleaded,174.0,4.0,MANUAL,front wheel drive,2.0,Performance,Compact,Coupe,41,30,2202,21600
car2697,Acura,CL,2001,premium unleaded (required),225.0,6.0,AUTOMATIC,front wheel drive,2.0,Luxury,Midsize,Coupe,27,17,204,27980
car2699,Acura,CL,2002,premium unleaded (required),225.0,6.0,AUTOMATIC,front wheel drive,2.0,Luxury,Midsize,Coupe,27,17,204,30030
car2704,Acura,CL,2003,premium unleaded (required),260.0,6.0,MANUAL,front wheel drive,2.0,"Factory Tuner,Luxury,Performance",Midsize,Coupe,26,17,204,30550
car2896,Bentley,Continental,2003,premium unleaded (required),420.0,8.0,AUTOMATIC,rear wheel drive,2.0,"Exotic,Factory Tuner,Luxury,Performance",Large,Coupe,15,10,520,318990
car2935,Toyota,Corolla,2015,regular unleaded,132.0,4.0,AUTOMATIC,front wheel drive,4.0,,Compact,Sedan,38,29,2031,18565
car2948,Toyota,Corolla,2016,regular unleaded,132.0,4.0,AUTOMATIC,front wheel drive,4.0,,Compact,Sedan,37,29,2031,19365
car2957,Toyota,Corolla,2017,regular unleaded,132.0,4.0,AUTOMATIC,front wheel drive,4.0,,Compact,Sedan,35,28,2031,20445
car3046,Honda,CR-V,2014,regular unleaded,185.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Compact,4dr SUV,31,23,2202,27870
car3056,Honda,CR-V,2015,regular unleaded,185.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Compact,4dr SUV,34,27,2202,29645
car3068,Honda,CR-V,2016,regular unleaded,185.0,4.0,AUTOMATIC,all wheel drive,4.0,Crossover,Compact,4dr SUV,31,25,2202,29745
car3074,Honda,CR-Z,2014,regular unleaded,130.0,4.0,AUTOMATIC,front wheel drive,2.0,"Hatchback,Hybrid",Compact,2dr Hatchback,39,36,2202,23990
car3080,Honda,CR-Z,2015,regular unleaded,130.0,4.0,AUTOMATIC,front wheel drive,2.0,"Hatchback,Hybrid",Compact,2dr Hatchback,39,36,2202,22640
car3086,Honda,CR-Z,2016,regular unleaded,130.0,4.0,AUTOMATIC,front wheel drive,2.0,"Hatchback,Hybrid",Compact,2dr Hatchback,39,36,2202,20945
car3109,Honda,Crosstour,2013,regular unleaded,192.0,4.0,AUTOMATIC,front wheel drive,4.0,"Crossover,Hatchback",Midsize,4dr Hatchback,31,22,2202,30915
car3117,Honda,Crosstour,2014,regular unleaded,278.0,6.0,AUTOMATIC,front wheel drive,4.0,"Crossover,Hatchback",Midsize,4dr Hatchback,30,20,2202,31040
car3125,Honda,Crosstour,2015,regular unleaded,278.0,6.0,AUTOMATIC,front wheel drive,4.0,"Crossover,Hatchback",Midsize,4dr Hatchback,30,20,2202,33840
car3717,Volkswagen,e-Golf,2015,electric,115.0,,DIRECT_DRIVE,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,105,126,873,35445
car3719,Volkswagen,e-Golf,2016,electric,115.0,,DIRECT_DRIVE,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,105,126,873,35595
car3761,Toyota,ECHO,2003,regular unleaded,108.0,4.0,AUTOMATIC,front wheel drive,2.0,,Compact,Coupe,36,28,2031,11045
car3765,Toyota,ECHO,2004,regular unleaded,108.0,4.0,MANUAL,front wheel drive,2.0,,Compact,Coupe,38,30,2031,10355
car3769,Toyota,ECHO,2005,regular unleaded,108.0,4.0,MANUAL,front wheel drive,2.0,,Compact,Coupe,38,30,2031,10455
car3900,Honda,Element,2009,regular unleaded,166.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Compact,4dr SUV,25,20,2202,22385
car3907,Honda,Element,2010,regular unleaded,166.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Compact,4dr SUV,25,20,2202,24320
car3911,Honda,Element,2011,regular unleaded,166.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Compact,4dr SUV,25,20,2202,22935
car4011,GMC,Envoy,2007,regular unleaded,302.0,8.0,AUTOMATIC,four wheel drive,4.0,,Midsize,4dr SUV,19,13,549,37190
car4017,GMC,Envoy,2008,regular unleaded,285.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Midsize,4dr SUV,20,14,549,31885
car4023,GMC,Envoy,2009,regular unleaded,285.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Midsize,4dr SUV,20,14,549,33480
car4027,Volkswagen,Eos,2014,premium unleaded (recommended),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,2.0,,Compact,Convertible,30,22,873,35595
car4030,Volkswagen,Eos,2015,premium unleaded (recommended),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,2.0,,Compact,Convertible,30,22,873,36145
car4031,Volkswagen,Eos,2016,premium unleaded (recommended),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,2.0,,Compact,Convertible,30,22,873,31995
car4252,Volkswagen,EuroVan,2001,premium unleaded (required),201.0,6.0,AUTOMATIC,front wheel drive,3.0,,Large,Passenger Minivan,18,15,873,26200
car4254,Volkswagen,EuroVan,2002,premium unleaded (recommended),201.0,6.0,AUTOMATIC,front wheel drive,3.0,,Large,Passenger Minivan,18,15,873,27700
car4256,Volkswagen,EuroVan,2003,premium unleaded (recommended),201.0,6.0,AUTOMATIC,front wheel drive,3.0,,Large,Passenger Minivan,18,15,873,27700
car4712,Honda,Fit,2015,regular unleaded,130.0,4.0,AUTOMATIC,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,38,32,2202,18360
car4718,Honda,Fit,2016,regular unleaded,130.0,4.0,MANUAL,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,37,29,2202,15890
car4724,Honda,Fit,2017,regular unleaded,130.0,4.0,AUTOMATIC,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,37,32,2202,18700
car5330,Volkswagen,GLI,2008,premium unleaded (required),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Performance,Compact,Sedan,29,22,873,25375
car5334,Volkswagen,GLI,2009,premium unleaded (recommended),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Performance,Compact,Sedan,29,22,873,25870
car5346,Volkswagen,GLI,2012,premium unleaded (recommended),200.0,4.0,MANUAL,front wheel drive,4.0,Performance,Midsize,Sedan,33,22,873,23745
car5456,Volkswagen,Golf,2015,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,2.0,Hatchback,Compact,2dr Hatchback,36,25,873,20395
car5465,Volkswagen,Golf,2016,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,36,25,873,21275
car5469,Volkswagen,Golf,2017,regular unleaded,170.0,4.0,MANUAL,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,36,25,873,19895
car5635,Volkswagen,GTI,2012,premium unleaded (recommended),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,"Hatchback,Performance",Compact,4dr Hatchback,33,24,873,27975
car5675,Volkswagen,GTI,2013,premium unleaded (recommended),200.0,4.0,MANUAL,front wheel drive,4.0,"Hatchback,Performance",Compact,4dr Hatchback,31,21,873,28795
car5679,Volkswagen,GTI,2014,premium unleaded (recommended),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,"Hatchback,Performance",Compact,4dr Hatchback,33,24,873,30795
car5739,Toyota,Highlander,2015,regular unleaded,270.0,6.0,AUTOMATIC,front wheel drive,4.0,Crossover,Midsize,4dr SUV,25,19,2031,40190
car5750,Toyota,Highlander,2016,regular unleaded,270.0,6.0,AUTOMATIC,front wheel drive,4.0,Crossover,Midsize,4dr SUV,25,19,2031,37315
car5759,Honda,HR-V,2016,regular unleaded,141.0,4.0,MANUAL,front wheel drive,4.0,Crossover,Compact,4dr SUV,34,25,2202,21265
car5767,Honda,HR-V,2017,regular unleaded,141.0,4.0,MANUAL,front wheel drive,4.0,Crossover,Compact,4dr SUV,33,25,2202,21415
car5790,BMW,i3,2015,electric,170.0,0.0,DIRECT_DRIVE,rear wheel drive,4.0,"Hatchback,Luxury",Compact,4dr Hatchback,111,137,3916,42400
car5791,BMW,i3,2016,electric,170.0,0.0,DIRECT_DRIVE,rear wheel drive,4.0,"Hatchback,Luxury",Compact,4dr Hatchback,111,137,3916,42400
car5793,BMW,i3,2017,electric,170.0,0.0,DIRECT_DRIVE,rear wheel drive,4.0,"Hatchback,Luxury",Compact,4dr Hatchback,106,129,3916,43600
car5801,Acura,ILX,2015,premium unleaded (recommended),150.0,4.0,AUTOMATIC,front wheel drive,4.0,Luxury,Compact,Sedan,35,24,204,27050
car5807,Acura,ILX,2016,premium unleaded (recommended),201.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Luxury,Compact,Sedan,36,25,204,27900
car5813,Acura,ILX,2017,premium unleaded (recommended),201.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Luxury,Compact,Sedan,35,25,204,29990
car5905,Honda,Insight,2012,regular unleaded,98.0,4.0,AUTOMATIC,front wheel drive,4.0,"Hatchback,Hybrid",Compact,4dr Hatchback,44,41,2202,23690
car5913,Honda,Insight,2013,regular unleaded,98.0,4.0,AUTOMATIC,front wheel drive,4.0,"Hatchback,Hybrid",Compact,4dr Hatchback,44,41,2202,22065
car5923,Acura,Integra,1999,regular unleaded,140.0,4.0,MANUAL,front wheel drive,2.0,"Hatchback,Luxury",Compact,2dr Hatchback,29,22,204,2799
car5930,Acura,Integra,2000,regular unleaded,140.0,4.0,MANUAL,front wheel drive,2.0,"Hatchback,Luxury",Compact,2dr Hatchback,28,22,204,3086
car5941,Acura,Integra,2001,premium unleaded (required),170.0,4.0,MANUAL,front wheel drive,2.0,"Hatchback,Luxury,Performance",Compact,2dr Hatchback,28,22,204,22300
car6125,Volkswagen,Jetta,2015,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Sedan,37,25,873,21995
car6147,Volkswagen,Jetta,2016,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Sedan,36,25,873,25380
car6154,Volkswagen,Jetta,2017,premium unleaded (recommended),210.0,4.0,MANUAL,front wheel drive,4.0,"Factory Tuner,Performance",Midsize,Sedan,33,23,873,27895
car6164,GMC,Jimmy,1999,regular unleaded,190.0,6.0,MANUAL,rear wheel drive,2.0,,Compact,2dr SUV,21,15,549,2038
car6174,GMC,Jimmy,2000,regular unleaded,190.0,6.0,UNKNOWN,four wheel drive,2.0,,Compact,2dr SUV,18,14,549,2578
car6185,GMC,Jimmy,2001,regular unleaded,190.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Midsize,4dr SUV,20,15,549,29925
car6581,BMW,M2,2016,premium unleaded (required),365.0,6.0,MANUAL,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,26,18,3916,51700
car6582,BMW,M2,2017,premium unleaded (required),365.0,6.0,MANUAL,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,26,18,3916,51700
car6596,BMW,M3,2015,premium unleaded (required),425.0,6.0,MANUAL,rear wheel drive,4.0,"Factory Tuner,Luxury,High-Performance",Midsize,Sedan,26,17,3916,62000
car6597,BMW,M3,2016,premium unleaded (required),425.0,6.0,MANUAL,rear wheel drive,4.0,"Factory Tuner,Luxury,High-Performance",Midsize,Sedan,26,17,3916,63500
car6598,BMW,M3,2017,premium unleaded (required),425.0,6.0,MANUAL,rear wheel drive,4.0,"Factory Tuner,Luxury,High-Performance",Midsize,Sedan,26,17,3916,64000
car6607,BMW,M4,2015,premium unleaded (required),425.0,6.0,MANUAL,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Midsize,Convertible,26,17,3916,72500
car6609,BMW,M4,2016,premium unleaded (required),425.0,6.0,MANUAL,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Midsize,Coupe,26,17,3916,65700
car6611,BMW,M4,2017,premium unleaded (required),425.0,6.0,MANUAL,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Midsize,Coupe,26,17,3916,66200
car6614,BMW,M5,2014,premium unleaded (required),552.0,8.0,AUTOMATED_MANUAL,rear wheel drive,4.0,"Factory Tuner,Luxury,High-Performance",Large,Sedan,20,14,3916,92900
car6623,BMW,M6,2016,premium unleaded (required),552.0,8.0,AUTOMATED_MANUAL,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Midsize,Coupe,20,14,3916,113400
car6716,Toyota,Matrix,2011,regular unleaded,132.0,4.0,MANUAL,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,32,26,2031,18845
car6721,Toyota,Matrix,2012,regular unleaded,158.0,4.0,MANUAL,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,28,21,2031,19565
car6726,Toyota,Matrix,2013,regular unleaded,132.0,4.0,MANUAL,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,32,26,2031,19275
car6754,BMW,M,2001,premium unleaded (required),315.0,6.0,MANUAL,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,23,15,3916,45990
car6755,BMW,M,2002,premium unleaded (required),315.0,6.0,MANUAL,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,25,17,3916,44990
car6757,BMW,M,2006,premium unleaded (required),330.0,6.0,MANUAL,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,22,14,3916,51300
car6765,Acura,MDX,2015,premium unleaded (recommended),290.0,6.0,AUTOMATIC,front wheel drive,4.0,"Crossover,Luxury",Midsize,4dr SUV,28,20,204,54780
car6781,Acura,MDX,2016,premium unleaded (recommended),290.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury",Midsize,4dr SUV,26,19,204,57230
car6791,Acura,MDX,2017,premium unleaded (recommended),290.0,6.0,AUTOMATIC,front wheel drive,4.0,"Crossover,Luxury",Midsize,4dr SUV,27,20,204,54400
car7260,Acura,NSX,2004,regular unleaded,252.0,6.0,AUTOMATIC,rear wheel drive,2.0,"Exotic,Luxury,High-Performance",Compact,Coupe,22,16,204,89000
car7262,Acura,NSX,2005,regular unleaded,252.0,6.0,AUTOMATIC,rear wheel drive,2.0,"Exotic,Luxury,High-Performance",Compact,Coupe,22,16,204,89000
car7263,Acura,NSX,2017,premium unleaded (required),573.0,6.0,AUTOMATED_MANUAL,all wheel drive,2.0,"Exotic,Luxury,High-Performance,Hybrid",Compact,Coupe,22,21,204,156000
car7299,Honda,Odyssey,2015,regular unleaded,248.0,6.0,AUTOMATIC,front wheel drive,4.0,,Large,Passenger Minivan,28,19,2202,32275
car7307,Honda,Odyssey,2016,regular unleaded,248.0,6.0,AUTOMATIC,front wheel drive,4.0,,Large,Passenger Minivan,28,19,2202,33500
car7448,Toyota,Paseo,1997,regular unleaded,93.0,4.0,MANUAL,front wheel drive,2.0,,Compact,Convertible,32,25,2031,2178
car7471,Volkswagen,Passat,2015,regular unleaded,170.0,4.0,MANUAL,front wheel drive,4.0,,Midsize,Sedan,35,24,873,21340
car7486,Volkswagen,Passat,2016,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Sedan,38,25,873,30495
car7493,Volkswagen,Passat,2017,premium unleaded (required),280.0,6.0,AUTOMATED_MANUAL,front wheel drive,4.0,Performance,Midsize,Sedan,28,20,873,33995
car7497,Honda,Passport,2000,regular unleaded,205.0,6.0,MANUAL,four wheel drive,4.0,,Midsize,4dr SUV,18,15,2202,2668
car7505,Honda,Passport,2001,regular unleaded,205.0,6.0,MANUAL,four wheel drive,4.0,,Midsize,4dr SUV,19,15,2202,26150
car7513,Honda,Passport,2002,regular unleaded,205.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Midsize,4dr SUV,20,15,2202,27100
car7544,Volkswagen,Phaeton,2004,premium unleaded (recommended),420.0,12.0,AUTOMATIC,all wheel drive,4.0,"Luxury,Performance",Large,Sedan,17,11,873,79900
car7548,Volkswagen,Phaeton,2005,premium unleaded (recommended),420.0,12.0,AUTOMATIC,all wheel drive,4.0,"Luxury,Performance",Large,Sedan,17,11,873,100800
